employee_id,name,email,age,gender,marital_status,department,job_level,education,monthly_income,years_at_company,years_since_last_promotion,distance_from_home_km,overtime,num_projects,avg_monthly_hours,satisfaction_score,city,hire_date,badge_id,survey_response_id,attrition
7402,Mr. Michael Peters,mr..peters@examplecorp.com,30,Female,Married,Research & Development,1,Bachelor,2978.0,0,0,13.0,No,4.0,191,3,Alexton,2026-07-20,BDG-4497-KIvK,195408,No
5835,Maria Sullivan,maria.sullivan@examplecorp.com,49,Female,Married,Engineering,2,High School,4951.0,12,12,37.9,No,2.0,154,4,South Martinville,2014-07-06,BDG-2225-umZN,166744,No
2123,Melissa Sparks,melissa.sparks@examplecorp.com,34,Male,Divorced,Sales,1,High School,2794.0,10,6,26.3,No,7.0,186,3,Weeksburgh,2016-07-16,BDG-7188-fvHu,480636,No
8789,Christian Edwards,christian.edwards@examplecorp.com,44,Female,Divorced,Research & Development,2,PhD,4705.0,6,5,5.3,No,1.0,144,2,Denisemouth,2020-07-19,BDG-2776-iHlw,352291,No
305,Maria Parker,maria.parker@examplecorp.com,22,Female,Divorced,Salez,4,Master,10520.0,0,0,2.8,No,1.0,166,2,Rileymouth,2026-06-27,BDG-7278-wEmb,739341,No
2532,Thomas Murphy,thomas.murphy@examplecorp.com,39,Female,Single,Research & Development,3,Bachelor,7863.0,6,3,1.0,No,1.0,223,5,East Joshua,29 Jun 2020,BDG-7355-GmWe,337219,Yes
2996,Anna Valenzuela,anna.valenzuela@examplecorp.com,33,Male,,Research & Development,2,Bachelor,4332.0,5,2,13.4,No,,148,3,Jessicastad,2021-07-07,BDG-3421-bxxI,672803,No
7660,David Oconnell,david.oconnell@examplecorp.com,37,Female,Married,Research & Development,2,Bachelor,4978.0,3,1,4.7,No,4.0,164,2,South Steven,2023-07-09,BDG-9468-RUNY,870566,Yes
8225,Zachary Doyle,zachary.doyle@examplecorp.com,44,Male,Married,Research & Development,1,Bachelor,2372.0,10,5,14.6,No,3.0,220,4,East Jasonberg,2016-07-14,BDG-0374-NahT,776894,Yes
4449,Tiffany Davis,tiffany.davis@examplecorp.com,37,Male,Married,Research & Development,2,Bachelor,5044.0,14,8,2.6,No,7.0,250,3,Alexview,04-07-2012,BDG-8366-PtVf,478520,No
3621,Michael Flowers,michael.flowers@examplecorp.com,31,Male,Married,Marketing,3,Bachelor,7490.0,8,1,6.5,No,3.0,191,4,Jamesland,2018-07-21,BDG-2156-lFJV,351182,No
9211,Thomas Logan,thomas.logan@examplecorp.com,39,Male,Single,Research & Development,4,Bachelor,12470.0,9,6,44.3,No,1.0,139,3,Ewingberg,27-06-2017,BDG-4016-hAix,708996,Yes
5023,Jesse Gardner,jesse.gardner@examplecorp.com,42,Male,Married,Research & Development,4,Master,11333.0,0,0,8.9,Yes,3.0,225,4,Millerfurt,July 03 2026,BDG-6033-pKCR,785420,No
7924,Brenda Nicholson,brenda.nicholson@examplecorp.com,32,Female,,HR,2,Bachelor,5339.0,5,2,12.7,No,1.0,151,3,North Carrieberg,13 Jul 2021,BDG-5343-gimb,995847,No
4476,Michael Williams,michael.williams@examplecorp.com,36,Female,unknown,Research & Development,3,Bachelor,6659.0,3,0,1.0,No,4.0,176,3,New Danielle,24 Jul 2023,BDG-0578-LwPH,641597,Yes
6709,John Johnson,john.johnson@examplecorp.com,46,Male,Divorced,Engineering,3,High School,,22,3,5.7,No,3.0,165,3,Samuelstad,17-07-2004,BDG-6775-nLmK,299599,No
108,Sierra Johnson,sierra.johnson@examplecorp.com,29,Male,Single,Engineering,1,Bachelor,3769.0,4,0,1.9,No,5.0,184,4,Wendyshire,2022-07-07,BDG-8263-bYgT,492295,No
3320,Andrew Harris,andrew.harris@examplecorp.com,24,Male,,Research & Development,2,High School,6141.0,2,0,12.0,No,6.0,155,5,Brianview,07/15/2024,BDG-0252-Jroh,211152,No
5658,Juan Gilbert,juan.gilbert@examplecorp.com,40,Female,Married,Sales,3,High School,8433.0,7,1,10.0,Yes,2.0,201,3,North Joe,July 17 2019,BDG-0210-LhrM,605135,No
8791,Jennifer Griffin,jennifer.griffin@examplecorp.com,53,Male,Single,Engineering,4,High School,13073.0,29,20,7.2,No,4.0,187,2,Hartport,1997-07-28,BDG-1064-vfUP,731912,Yes
546,Cindy Gomez,cindy.gomez@examplecorp.com,29,Male,Single,Engineering,2,Master,4439.0,0,0,3.4,No,1.0,217,4,Graychester,2026-07-15,BDG-5638-jxAM,647889,No
6283,Lisa Rodriguez,lisa.rodriguez@examplecorp.com,41,Female,Married,Sales,2,High School,4520.0,11,2,1.0,Yes,2.0,174,2,Reedmouth,2015-06-29,BDG-3299-gqGM,165684,No
2517,Michael Dawson,michael.dawson@examplecorp.com,41,Female,Married,Sales,1,Bachelor,3102.0,10,1,4.8,Yes,1.0,213,2,Melissafurt,30 Jun 2016,BDG-8955-jndq,740783,Yes
501,Jennifer Banks,jennifer.banks@examplecorp.com,44,Male,Single,Marketing,3,Bachelor,10k,10,7,1.0,Yes,,219,4,Pooleside,2016-06-30,BDG-1158-kudI,985023,No
8794,Natasha Watkins,natasha.watkins@examplecorp.com,31,Female,Divorced,Engineering,3,Master,8149.0,1,0,,No,3.0,168,2,Port Kevinmouth,2025-07-18,BDG-9303-CSxn,253266,No
1922,Sara Schwartz,sara.schwartz@examplecorp.com,51,Female,Single,Sales,2,Master,5549.0,20,9,1.0,No,3.0,163,3,Port Tiffanymouth,2006-07-06,BDG-0668-PyyW,849591,No
4302,Jordan Tanner,jordan.tanner@examplecorp.com,57,Male,Married,Research & Development,3,Bachelor,9130.0,10,6,18.7,No,2.0,197,4,West Robertfurt,2016-07-17,BDG-5243-zGaf,543099,No
9113,Peter Humphrey,peter.humphrey@examplecorp.com,44,Male,Single,Research & Development,2,High School,5611.0,12,7,6.8,No,5.0,176,3,Jasonstad,2014-07-21,BDG-6077-Wjyp,779658,No
9728,Dominique Wagner,dominique.wagner@examplecorp.com,40,Male,Married,Engineering,1,Master,3069.0,10,0,2.9,No,1.0,156,1,New Patrick,July 04 2016,BDG-3083-UTEr,926378,No
6272,John Chavez,john.chavez@examplecorp.com,23,Female,Single,Sales,1,PhD,2482.0,0,0,3.3,Yes,5.0,156,4,Jamesmouth,2026-07-07,BDG-0405-YSDf,869683,No
4443,George Weber,george.weber@examplecorp.com,28,Female,,Sales,4,Master,10175.0,3,3,4.9,Yes,4.0,209,4,Wilsonmouth,2023-06-26,BDG-2227-OdcV,533676,No
6729,Gerald Hunt,gerald.hunt@examplecorp.com,39,Female,Divorced,Human Resources,3,Bachelor,6926.0,3,2,7.0,Yes,2.0,220,2,Schmittchester,July 04 2023,BDG-2382-mBvz,382435,Yes
4534,Joshua Scott,joshua.scott@examplecorp.com,45,Male,Married,Sales,2,High School,6761.0,10,6,1.0,No,1.0,137,3,Jamesberg,03-07-2016,BDG-0729-TNGY,368402,No
34,Nathan Maldonado,nathan.maldonado@examplecorp.com,41,Female,Single,Engineering,2,Bachelor,6053.0,2,0,7.7,No,3.0,173,4,South Tyler,07/18/2024,BDG-7426-aIww,887698,No
9850,Jared Myers,jared.myers@examplecorp.com,22,Female,Married,Human Resources,1,Bachelor,3264.0,0,0,5.4,No,3.0,212,3,Tuckershire,24 Jul 2026,BDG-6106-LZcR,632491,No
4429,David Washington III,david.iii@examplecorp.com,42,Male,Single,Research & Development,1,Master,3452.0,5,0,23.7,No,2.0,136,3,Robertsview,2021-07-08,BDG-3351-zzcF,150000,No
569,Lisa Randall,lisa.randall@examplecorp.com,42,Male,N/A,Sales,2,Bachelor,5674.0,18,2,1.0,Yes,4.0,196,3,Lake Margaret,July 19 2008,BDG-5551-qBxM,592473,No
1510,Tammy Moore,tammy.moore@examplecorp.com,41,Female,Single,Marketing,3,Bachelor,8565.0,18,0,7.3,No,5.0,176,3,Lauraland,2008-07-05,BDG-4104-ibQC,197416,No
7788,Lisa Hall,lisa.hall@examplecorp.com,29,Male,Married,Marketing,4,,11009.0,2,2,5.3,No,7.0,178,2,Leeburgh,2024-07-23,BDG-9117-VeuL,430309,No
304,Sara Fuller,sara.fuller@examplecorp.com,41,Male,Married,Marketing,2,Bachelor,4349.0,0,0,9.4,No,2.0,131,1,Pierceton,07-07-2026,BDG-0618-rXvz,445464,No
7549,Douglas Frye,douglas.frye@examplecorp.com,31,Male,,Sales,1,High School,3289.0,7,7,1.0,No,6.0,179,4,North Susan,July 18 2019,BDG-6901-mdnN,967853,No
5530,Angelica Lopez,angelica.lopez@examplecorp.com,22,Female,Married,Research & Development,3,Bachelor,7223.0,0,0,1.0,No,5.0,170,5,North Grant,2026-07-17,BDG-1318-rGQc,104104,No
1122,David Hinton,david.hinton@examplecorp.com,35,Female,Single,Sales,1,Bachelor,3798.0,10,2,1.0,No,,169,4,East Johnside,2016-07-16,BDG-3651-jlae,658861,No
5205,Allison Branch,allison.branch@examplecorp.com,43,Male,Married,Research & Development,1,High School,3347.0,10,4,15.0,No,3.0,176,3,Stephaniechester,12-07-2016,BDG-8385-XkYy,745703,No
7289,Bethany Frazier,bethany.frazier@examplecorp.com,22,Female,Divorced,Sales,2,Bachelor,6006.0,0,0,2.5,No,3.0,156,2,Mosston,2026-07-19,BDG-9689-JkXH,405593,No
5909,Michael Taylor,michael.taylor@examplecorp.com,46,Male,Single, Sales,1,Bachelor,2712.0,20,5,7.6,No,1.0,127,3,Coleside,2006-07-09,BDG-0105-LBRQ,166013,No
9842,Gilbert Reynolds,gilbert.reynolds@examplecorp.com,39,Male,Married,Marketing,1,,2942.0,11,0,17.0,No,1.0,180,3,Shorttown,July 27 2015,BDG-7749-sMcy,535393,No
2376,Alejandro Campbell,alejandro.campbell@examplecorp.com,25,Male,Married,Research & Development,1,Master,3563.0,1,1,2.9,No,1.0,171,4,New Keith,11 Jul 2025,BDG-4189-vbHh,963589,No
2448,Yolanda Keith,yolanda.keith@examplecorp.com,34,Male,Single,Engineering,2,High School,4488.0,4,1,18.8,No,5.0,184,1,North Nancyfort,02 Jul 2022,BDG-0962-JBJQ,299048,Yes
5454,Stephen Smith,stephen.smith@examplecorp.com,36,Female,Single,Human Resources,1,High School,3444.0,3,1,17.0,No,3.0,198,3,New Cheryltown,2023-07-23,BDG-8110-LbTM,311258,No
316,Jordan Chambers,jordan.chambers@examplecorp.com,33,Female,Single,Research & Development,2,Master,4275.0,0,0,,No,2.0,120,4,Port Daniel,07 Jul 2026,BDG-8540-OYod,973585,No
8616,Samantha Thomas,samantha.thomas@examplecorp.com,43,Female,Married,Human Resources,3,High School,7455.0,12,8,3.2,Yes,3.0,202,1,Robertsonside,2014-06-29,BDG-9027-QoKK,870468,No
3527,John Collins,john.collins@examplecorp.com,37,Male,Divorced,Human Resources,1,Master,2780.0,0,0,11.2,No,3.0,191,5,East Pamelaview,15-07-2026,BDG-0930-pDtX,415475,No
5548,Justin Bishop,justin.bishop@examplecorp.com,40,Female,Married,Engineering,3,Bachelor,6124.0,0,0,1.2,No,4.0,192,2,Port Sarah,2026-07-22,BDG-4309-VeFV,801977,No
8053,Colin Vega Jr.,colin.jr.@examplecorp.com,30,Female,Married,Marketing,4,Master,9901.0,6,0,7.7,Yes,7.0,163,3,Lake Dawn,29 Jun 2020,BDG-2804-yxTQ,758916,Yes
97,Aaron Wise,aaron.wise@examplecorp.com,39,Male,Married,Human Resources,2,Bachelor,6780.0,2,2,7.7,No,2.0,158,3,Hannahtown,2024-06-29,BDG-0742-khka,198438,No
7530,Heather Hernandez,heather.hernandez@examplecorp.com,43,Male,Married,Sales,1,High School,3011.0,0,0,15.7,No,1.0,152,3,Lake Sarahmouth,2026-07-23,BDG-3847-begR,730809,No
1057,Michael Holloway,michael.holloway@examplecorp.com,33,Female,Married,Engineering,4,Bachelor,,1,1,1.6,No,2.0,176,3,Maryborough,2025-07-19,BDG-1067-aNNO,512659,No
9677,Lauren Thomas,lauren.thomas@examplecorp.com,26,Male,,Engineering,2,Bachelor,5912.0,0,0,4.5,No,2.0,170,4,North Justintown,2026-06-26,BDG-8402-DGAJ,217002,No
8569,Thomas Sanchez,thomas.sanchez@examplecorp.com,39,Male,Single,Engineering,3,Master,,8,7,11.6,No,4.0,139,2,Brandonmouth,2018-07-05,BDG-7324-AXLU,469063,No
3820,Kenneth Smith,kenneth.smith@examplecorp.com,31,Female,Married,Marketing,4,High School,9528.0,4,0,11.2,No,3.0,223,5,Lake Rebeccaside,July 04 2022,BDG-2201-aOUm,525809,No
8536,Tyler Porter,tyler.porter@examplecorp.com,39,Male,Married,Sales,1,Bachelor,2923.0,12,1,11.1,No,1.0,197,3,Rodneyton,2014-07-01,BDG-9737-Nekp,703703,Yes
4112,Stephanie Kelley,stephanie.kelley@examplecorp.com,51,Female,Married,Human Resources,4,High School,15319.0,14,8,29.9,No,4.0,159,2,Fishermouth,2012-07-19,BDG-0254-nDng,393016,Yes
6740,Amanda Watts,amanda.watts@examplecorp.com,43,Male,Single,Sales,2,PhD,5024.0,3,3,1.0,No,4.0,200,3,Lake Christina,July 01 2023,BDG-6528-aHqF,361571,No
1497,Sonya Jackson,sonya.jackson@examplecorp.com,45,Female,Married,Engineering,4,Master,11008.0,14,8,7.2,No,2.0,190,3,Bonnieview,2012-07-05,BDG-7067-fwfu,318115,No
577,Thomas Peterson,thomas.peterson@examplecorp.com,32,Male,Married,Human Resources,4,Master,10024.0,0,0,3.6,No,5.0,187,3,North Christopher,2026-07-02,BDG-7524-RcND,149741,No
2271,Mrs. Amy Malone,mrs..malone@examplecorp.com,40,Male,Married,Sales,3,Bachelor,10130.0,1,0,1.0,Yes,1.0,213,3,Kellytown,July 18 2025,BDG-6051-XeaR,502843,No
1442,Derrick Espinoza,derrick.espinoza@examplecorp.com,41,Female,Divorced,Engineering,1,Master,3523.0,9,7,16.7,No,4.0,204,4,Tinashire,2017-06-30,BDG-9322-UoLt,269081,No
